curie	type	label	parent	parent label	role	role label	function types	description	modified date
ID	TYPE	AT rdfs:label^^xsd:string	SC %		SC 'has role' some %		SC 'has function type' some % SPLIT=|	AT dcterms:description^^xsd:string	AT dcterms:modified^^xsd:date
BSEO:0000034	class	6-311+G*-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2016-07-11
BSEO:0000035	class	6-311+G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO with diffuse on heavy atoms, polarization on all atoms	2015-02-27
BSEO:0000036	class	6-311G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000037	class	6-311G(2df,2pd)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000038	class	6-311G(d,p)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000039	class	6-311G-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001		2016-07-11
BSEO:0000040	class	6-311G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2015-02-19
BSEO:0000041	class	6-311G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	VTZ Valence Triple Zeta: 3 Funct.'s/Valence AO	2007-01-15
BSEO:0000042	class	6-311G**-RIFIT	BSEO:0100050	pople_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300002	RI-MP2 auxiliary basis for 6-311G** basis	2021-03-24
BSEO:0000043	class	6-311xxG(d,p)	BSEO:0100065	zorrilla	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	6-311xxG(d,p) basis set	2020-07-13
BSEO:0000044	class	6-31G	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003	6-31G valence double-zeta	2008-04-24
BSEO:0000045	class	6-31G(2df,p)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2016-07-11
BSEO:0000046	class	6-31G(3df,3pd)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002		2007-01-15
BSEO:0000047	class	6-31G(d,p)	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	6-31G + polarization on all atoms	2007-01-15
BSEO:0000048	class	6-31G-Blaudeau	BSEO:0100010	blaudeau	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	2007-01-15
BSEO:0000049	class	6-31G-J	BSEO:0100057	sauer_j	BSEO:0200008	orbital	BSEO:0300001		2016-07-11
BSEO:0000050	class	6-31G*	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	6-31G + polarization on heavy atoms	2015-05-28
BSEO:0000051	class	6-31G*-Blaudeau	BSEO:0100010	blaudeau	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	VDZP    Valence Double Zeta + Polarization on All Atoms	2007-01-15
BSEO:0000052	class	6-31G**	BSEO:0100049	pople	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300003|BSEO:0300002	6-31G + polarization on all atoms	2007-01-15
BSEO:0000053	class	6-31G**-RIFIT	BSEO:0100050	pople_fit	BSEO:0200009	rifit	BSEO:0300001|BSEO:0300003	RI-MP2 auxiliary basis for 6-31G** basis	2021-03-24
BSEO:0000054	class	6ZaP	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	6ZaP basis set of Zhong, Barnes, and Petersson	2024-07-15
BSEO:0000055	class	6ZaPa-NR	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	Sextuple Zeta augmented + polarization (nonrelativistic)	2016-07-11
BSEO:0000056	class	7ZaPa-NR	BSEO:0100053	ranasinghe	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	7Zeta augmented + polarization (nonrelativistic)	2016-07-11
BSEO:0000057	class	acv2z-J	BSEO:0100001	acvxz-j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	acv2z-J basis for indirect nuclear spin-spin coupling	2019-08-08
BSEO:0000058	class	acv3z-J	BSEO:0100001	acvxz-j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	acv3z-J basis for indirect nuclear spin-spin coupling	2019-08-08
BSEO:0000059	class	acv4z-J	BSEO:0100001	acvxz-j	BSEO:0200008	orbital	BSEO:0300001|BSEO:0300002	acv4z-J basis for indirect nuclear spin-spin coupling	2019-08-08
BSEO:0000060	class	admm-1	BSEO:0100033	jensen	BSEO:0200001	admmfit	BSEO:0300001	Auxiliary basis with diffuse functions for use with pcseg-1 and the Auxiliary-Density Matrix Method (ADMM)	2019-01-07
