ID	TYPE	basis set	element	element CURIE	element name
BSEO:0000010	class	4ZaPa-NR	15	CHEBI:28659	phosphorus
BSEO:0000010	class	4ZaPa-NR	16	CHEBI:26833	sulfur
BSEO:0000010	class	4ZaPa-NR	17	CHEBI:23116	chlorine
BSEO:0000010	class	4ZaPa-NR	18	CHEBI:49475	argon
BSEO:0000011	class	4ZaPa-NR-CV	1	CHEBI:49637	hydrogen
BSEO:0000011	class	4ZaPa-NR-CV	2	CHEBI:30217	helium
BSEO:0000011	class	4ZaPa-NR-CV	3	CHEBI:30145	lithium
BSEO:0000011	class	4ZaPa-NR-CV	4	CHEBI:30501	beryllium
BSEO:0000011	class	4ZaPa-NR-CV	5	CHEBI:27560	boron
BSEO:0000011	class	4ZaPa-NR-CV	6	CHEBI:27594	carbon
BSEO:0000011	class	4ZaPa-NR-CV	7	CHEBI:25555	nitrogen
BSEO:0000011	class	4ZaPa-NR-CV	8	CHEBI:25805	oxygen
BSEO:0000011	class	4ZaPa-NR-CV	9	CHEBI:24061	fluorine
BSEO:0000011	class	4ZaPa-NR-CV	10	CHEBI:33310	neon
BSEO:0000011	class	4ZaPa-NR-CV	11	CHEBI:26708	sodium
BSEO:0000011	class	4ZaPa-NR-CV	12	CHEBI:25107	magnesium
BSEO:0000011	class	4ZaPa-NR-CV	13	CHEBI:28984	aluminium
BSEO:0000011	class	4ZaPa-NR-CV	14	CHEBI:27573	silicon
BSEO:0000011	class	4ZaPa-NR-CV	15	CHEBI:28659	phosphorus
BSEO:0000011	class	4ZaPa-NR-CV	16	CHEBI:26833	sulfur
BSEO:0000011	class	4ZaPa-NR-CV	17	CHEBI:23116	chlorine
BSEO:0000011	class	4ZaPa-NR-CV	18	CHEBI:49475	argon
BSEO:0000012	class	5-21G	1	CHEBI:49637	hydrogen
BSEO:0000012	class	5-21G	2	CHEBI:30217	helium
BSEO:0000012	class	5-21G	3	CHEBI:30145	lithium
BSEO:0000012	class	5-21G	4	CHEBI:30501	beryllium
BSEO:0000013	class	5ZaP	1	CHEBI:49637	hydrogen
BSEO:0000013	class	5ZaP	6	CHEBI:27594	carbon
BSEO:0000013	class	5ZaP	7	CHEBI:25555	nitrogen
BSEO:0000013	class	5ZaP	8	CHEBI:25805	oxygen
BSEO:0000013	class	5ZaP	9	CHEBI:24061	fluorine
BSEO:0000014	class	5ZaPa-NR	1	CHEBI:49637	hydrogen
BSEO:0000014	class	5ZaPa-NR	2	CHEBI:30217	helium
BSEO:0000014	class	5ZaPa-NR	3	CHEBI:30145	lithium
BSEO:0000014	class	5ZaPa-NR	4	CHEBI:30501	beryllium
BSEO:0000014	class	5ZaPa-NR	5	CHEBI:27560	boron
BSEO:0000014	class	5ZaPa-NR	6	CHEBI:27594	carbon
BSEO:0000014	class	5ZaPa-NR	7	CHEBI:25555	nitrogen
BSEO:0000014	class	5ZaPa-NR	8	CHEBI:25805	oxygen
BSEO:0000014	class	5ZaPa-NR	9	CHEBI:24061	fluorine
BSEO:0000014	class	5ZaPa-NR	10	CHEBI:33310	neon
BSEO:0000014	class	5ZaPa-NR	11	CHEBI:26708	sodium
BSEO:0000014	class	5ZaPa-NR	12	CHEBI:25107	magnesium
BSEO:0000014	class	5ZaPa-NR	13	CHEBI:28984	aluminium
BSEO:0000014	class	5ZaPa-NR	14	CHEBI:27573	silicon
BSEO:0000014	class	5ZaPa-NR	15	CHEBI:28659	phosphorus
BSEO:0000014	class	5ZaPa-NR	16	CHEBI:26833	sulfur
BSEO:0000014	class	5ZaPa-NR	17	CHEBI:23116	chlorine
BSEO:0000014	class	5ZaPa-NR	18	CHEBI:49475	argon
BSEO:0000015	class	5ZaPa-NR-CV	1	CHEBI:49637	hydrogen
BSEO:0000015	class	5ZaPa-NR-CV	2	CHEBI:30217	helium
BSEO:0000015	class	5ZaPa-NR-CV	3	CHEBI:30145	lithium
BSEO:0000015	class	5ZaPa-NR-CV	4	CHEBI:30501	beryllium
BSEO:0000015	class	5ZaPa-NR-CV	5	CHEBI:27560	boron
BSEO:0000015	class	5ZaPa-NR-CV	6	CHEBI:27594	carbon
BSEO:0000015	class	5ZaPa-NR-CV	7	CHEBI:25555	nitrogen
BSEO:0000015	class	5ZaPa-NR-CV	8	CHEBI:25805	oxygen
BSEO:0000015	class	5ZaPa-NR-CV	9	CHEBI:24061	fluorine
BSEO:0000015	class	5ZaPa-NR-CV	10	CHEBI:33310	neon
BSEO:0000015	class	5ZaPa-NR-CV	11	CHEBI:26708	sodium
BSEO:0000015	class	5ZaPa-NR-CV	12	CHEBI:25107	magnesium
BSEO:0000015	class	5ZaPa-NR-CV	13	CHEBI:28984	aluminium
BSEO:0000015	class	5ZaPa-NR-CV	14	CHEBI:27573	silicon
BSEO:0000015	class	5ZaPa-NR-CV	15	CHEBI:28659	phosphorus
BSEO:0000015	class	5ZaPa-NR-CV	16	CHEBI:26833	sulfur
BSEO:0000015	class	5ZaPa-NR-CV	17	CHEBI:23116	chlorine
BSEO:0000015	class	5ZaPa-NR-CV	18	CHEBI:49475	argon
BSEO:0000016	class	6-21G	1	CHEBI:49637	hydrogen
BSEO:0000016	class	6-21G	2	CHEBI:30217	helium
BSEO:0000016	class	6-21G	3	CHEBI:30145	lithium
BSEO:0000016	class	6-21G	4	CHEBI:30501	beryllium
BSEO:0000016	class	6-21G	5	CHEBI:27560	boron
BSEO:0000016	class	6-21G	6	CHEBI:27594	carbon
BSEO:0000016	class	6-21G	7	CHEBI:25555	nitrogen
BSEO:0000016	class	6-21G	8	CHEBI:25805	oxygen
BSEO:0000016	class	6-21G	9	CHEBI:24061	fluorine
BSEO:0000016	class	6-21G	10	CHEBI:33310	neon
BSEO:0000016	class	6-21G	11	CHEBI:26708	sodium
BSEO:0000016	class	6-21G	12	CHEBI:25107	magnesium
BSEO:0000016	class	6-21G	13	CHEBI:28984	aluminium
BSEO:0000016	class	6-21G	14	CHEBI:27573	silicon
BSEO:0000016	class	6-21G	15	CHEBI:28659	phosphorus
BSEO:0000016	class	6-21G	16	CHEBI:26833	sulfur
BSEO:0000016	class	6-21G	17	CHEBI:23116	chlorine
BSEO:0000016	class	6-21G	18	CHEBI:49475	argon
BSEO:0000017	class	6-31++G	1	CHEBI:49637	hydrogen
BSEO:0000017	class	6-31++G	3	CHEBI:30145	lithium
BSEO:0000017	class	6-31++G	4	CHEBI:30501	beryllium
BSEO:0000017	class	6-31++G	5	CHEBI:27560	boron
BSEO:0000017	class	6-31++G	6	CHEBI:27594	carbon
BSEO:0000017	class	6-31++G	7	CHEBI:25555	nitrogen
BSEO:0000017	class	6-31++G	8	CHEBI:25805	oxygen
BSEO:0000017	class	6-31++G	9	CHEBI:24061	fluorine
BSEO:0000017	class	6-31++G	10	CHEBI:33310	neon
BSEO:0000017	class	6-31++G	11	CHEBI:26708	sodium
BSEO:0000017	class	6-31++G	12	CHEBI:25107	magnesium
BSEO:0000017	class	6-31++G	13	CHEBI:28984	aluminium
BSEO:0000017	class	6-31++G	14	CHEBI:27573	silicon
BSEO:0000017	class	6-31++G	15	CHEBI:28659	phosphorus
BSEO:0000017	class	6-31++G	16	CHEBI:26833	sulfur
BSEO:0000017	class	6-31++G	17	CHEBI:23116	chlorine
BSEO:0000017	class	6-31++G	18	CHEBI:49475	argon
BSEO:0000017	class	6-31++G	19	CHEBI:26216	potassium
BSEO:0000017	class	6-31++G	20	CHEBI:22984	calcium
BSEO:0000018	class	6-31++G*	1	CHEBI:49637	hydrogen
BSEO:0000018	class	6-31++G*	2	CHEBI:30217	helium
BSEO:0000018	class	6-31++G*	3	CHEBI:30145	lithium
BSEO:0000018	class	6-31++G*	4	CHEBI:30501	beryllium
BSEO:0000018	class	6-31++G*	5	CHEBI:27560	boron
BSEO:0000018	class	6-31++G*	6	CHEBI:27594	carbon
BSEO:0000018	class	6-31++G*	7	CHEBI:25555	nitrogen
BSEO:0000018	class	6-31++G*	8	CHEBI:25805	oxygen
BSEO:0000018	class	6-31++G*	9	CHEBI:24061	fluorine
BSEO:0000018	class	6-31++G*	10	CHEBI:33310	neon
BSEO:0000018	class	6-31++G*	11	CHEBI:26708	sodium
BSEO:0000018	class	6-31++G*	12	CHEBI:25107	magnesium
BSEO:0000018	class	6-31++G*	13	CHEBI:28984	aluminium
BSEO:0000018	class	6-31++G*	14	CHEBI:27573	silicon
BSEO:0000018	class	6-31++G*	15	CHEBI:28659	phosphorus
BSEO:0000018	class	6-31++G*	16	CHEBI:26833	sulfur
BSEO:0000018	class	6-31++G*	17	CHEBI:23116	chlorine
BSEO:0000018	class	6-31++G*	18	CHEBI:49475	argon
BSEO:0000018	class	6-31++G*	19	CHEBI:26216	potassium
BSEO:0000018	class	6-31++G*	20	CHEBI:22984	calcium
BSEO:0000019	class	6-31++G**	1	CHEBI:49637	hydrogen
BSEO:0000019	class	6-31++G**	3	CHEBI:30145	lithium
BSEO:0000019	class	6-31++G**	4	CHEBI:30501	beryllium
BSEO:0000019	class	6-31++G**	5	CHEBI:27560	boron
BSEO:0000019	class	6-31++G**	6	CHEBI:27594	carbon
BSEO:0000019	class	6-31++G**	7	CHEBI:25555	nitrogen
BSEO:0000019	class	6-31++G**	8	CHEBI:25805	oxygen
BSEO:0000019	class	6-31++G**	9	CHEBI:24061	fluorine
BSEO:0000019	class	6-31++G**	10	CHEBI:33310	neon
BSEO:0000019	class	6-31++G**	11	CHEBI:26708	sodium
BSEO:0000019	class	6-31++G**	12	CHEBI:25107	magnesium
BSEO:0000019	class	6-31++G**	13	CHEBI:28984	aluminium
BSEO:0000019	class	6-31++G**	14	CHEBI:27573	silicon
BSEO:0000019	class	6-31++G**	15	CHEBI:28659	phosphorus
BSEO:0000019	class	6-31++G**	16	CHEBI:26833	sulfur
BSEO:0000019	class	6-31++G**	17	CHEBI:23116	chlorine
BSEO:0000019	class	6-31++G**	18	CHEBI:49475	argon
BSEO:0000019	class	6-31++G**	19	CHEBI:26216	potassium
BSEO:0000019	class	6-31++G**	20	CHEBI:22984	calcium
BSEO:0000020	class	6-31++G**-J	1	CHEBI:49637	hydrogen
BSEO:0000020	class	6-31++G**-J	6	CHEBI:27594	carbon
BSEO:0000020	class	6-31++G**-J	7	CHEBI:25555	nitrogen
BSEO:0000020	class	6-31++G**-J	8	CHEBI:25805	oxygen
BSEO:0000021	class	6-31+G	1	CHEBI:49637	hydrogen
BSEO:0000021	class	6-31+G	2	CHEBI:30217	helium
BSEO:0000021	class	6-31+G	3	CHEBI:30145	lithium
BSEO:0000021	class	6-31+G	4	CHEBI:30501	beryllium
BSEO:0000021	class	6-31+G	5	CHEBI:27560	boron
BSEO:0000021	class	6-31+G	6	CHEBI:27594	carbon
BSEO:0000021	class	6-31+G	7	CHEBI:25555	nitrogen
BSEO:0000021	class	6-31+G	8	CHEBI:25805	oxygen
BSEO:0000021	class	6-31+G	9	CHEBI:24061	fluorine
BSEO:0000021	class	6-31+G	10	CHEBI:33310	neon
BSEO:0000021	class	6-31+G	11	CHEBI:26708	sodium
BSEO:0000021	class	6-31+G	12	CHEBI:25107	magnesium
BSEO:0000021	class	6-31+G	13	CHEBI:28984	aluminium
BSEO:0000021	class	6-31+G	14	CHEBI:27573	silicon
BSEO:0000021	class	6-31+G	15	CHEBI:28659	phosphorus
BSEO:0000021	class	6-31+G	16	CHEBI:26833	sulfur
BSEO:0000021	class	6-31+G	17	CHEBI:23116	chlorine
BSEO:0000021	class	6-31+G	18	CHEBI:49475	argon
BSEO:0000021	class	6-31+G	19	CHEBI:26216	potassium
BSEO:0000021	class	6-31+G	20	CHEBI:22984	calcium
