ID	TYPE	basis set	element	element CURIE	element name
BSEO:0000004	class	3-21G	52	CHEBI:30452	tellurium
BSEO:0000004	class	3-21G	53	CHEBI:24859	iodine
BSEO:0000004	class	3-21G	54	CHEBI:49957	xenon
BSEO:0000004	class	3-21G	55	CHEBI:30514	caesium
BSEO:0000005	class	3ZaP	1	CHEBI:49637	hydrogen
BSEO:0000005	class	3ZaP	6	CHEBI:27594	carbon
BSEO:0000005	class	3ZaP	7	CHEBI:25555	nitrogen
BSEO:0000005	class	3ZaP	8	CHEBI:25805	oxygen
BSEO:0000005	class	3ZaP	9	CHEBI:24061	fluorine
BSEO:0000006	class	3ZaPa-NR	1	CHEBI:49637	hydrogen
BSEO:0000006	class	3ZaPa-NR	2	CHEBI:30217	helium
BSEO:0000006	class	3ZaPa-NR	3	CHEBI:30145	lithium
BSEO:0000006	class	3ZaPa-NR	4	CHEBI:30501	beryllium
BSEO:0000006	class	3ZaPa-NR	5	CHEBI:27560	boron
BSEO:0000006	class	3ZaPa-NR	6	CHEBI:27594	carbon
BSEO:0000006	class	3ZaPa-NR	7	CHEBI:25555	nitrogen
BSEO:0000006	class	3ZaPa-NR	8	CHEBI:25805	oxygen
BSEO:0000006	class	3ZaPa-NR	9	CHEBI:24061	fluorine
BSEO:0000006	class	3ZaPa-NR	10	CHEBI:33310	neon
BSEO:0000006	class	3ZaPa-NR	11	CHEBI:26708	sodium
BSEO:0000006	class	3ZaPa-NR	12	CHEBI:25107	magnesium
BSEO:0000006	class	3ZaPa-NR	13	CHEBI:28984	aluminium
BSEO:0000006	class	3ZaPa-NR	14	CHEBI:27573	silicon
BSEO:0000006	class	3ZaPa-NR	15	CHEBI:28659	phosphorus
BSEO:0000006	class	3ZaPa-NR	16	CHEBI:26833	sulfur
BSEO:0000006	class	3ZaPa-NR	17	CHEBI:23116	chlorine
BSEO:0000006	class	3ZaPa-NR	18	CHEBI:49475	argon
BSEO:0000007	class	3ZaPa-NR-CV	1	CHEBI:49637	hydrogen
BSEO:0000007	class	3ZaPa-NR-CV	2	CHEBI:30217	helium
BSEO:0000007	class	3ZaPa-NR-CV	3	CHEBI:30145	lithium
BSEO:0000007	class	3ZaPa-NR-CV	4	CHEBI:30501	beryllium
BSEO:0000007	class	3ZaPa-NR-CV	5	CHEBI:27560	boron
BSEO:0000007	class	3ZaPa-NR-CV	6	CHEBI:27594	carbon
BSEO:0000007	class	3ZaPa-NR-CV	7	CHEBI:25555	nitrogen
