basis set	element	element CURIE	element name
4-31G	4	CHEBI:30501	beryllium
4-31G	5	CHEBI:27560	boron
4-31G	6	CHEBI:27594	carbon
4-31G	7	CHEBI:25555	nitrogen
4-31G	8	CHEBI:25805	oxygen
4-31G	9	CHEBI:24061	fluorine
4-31G	10	CHEBI:33310	neon
4-31G	15	CHEBI:28659	phosphorus
4-31G	16	CHEBI:26833	sulfur
4-31G	17	CHEBI:23116	chlorine
4-31G	1	CHEBI:49637	hydrogen
4-31G	2	CHEBI:30217	helium
4-31G	5	CHEBI:27560	boron
4-31G	6	CHEBI:27594	carbon
4-31G	7	CHEBI:25555	nitrogen
4-31G	8	CHEBI:25805	oxygen
4-31G	9	CHEBI:24061	fluorine
4-31G	10	CHEBI:33310	neon
4-31G	15	CHEBI:28659	phosphorus
4-31G	16	CHEBI:26833	sulfur
4-31G	17	CHEBI:23116	chlorine
4ZaP	1	CHEBI:49637	hydrogen
4ZaP	6	CHEBI:27594	carbon
4ZaP	7	CHEBI:25555	nitrogen
4ZaP	8	CHEBI:25805	oxygen
4ZaP	9	CHEBI:24061	fluorine
4ZaPa-NR	1	CHEBI:49637	hydrogen
4ZaPa-NR	2	CHEBI:30217	helium
4ZaPa-NR	3	CHEBI:30145	lithium
4ZaPa-NR	4	CHEBI:30501	beryllium
4ZaPa-NR	5	CHEBI:27560	boron
4ZaPa-NR	6	CHEBI:27594	carbon
4ZaPa-NR	7	CHEBI:25555	nitrogen
4ZaPa-NR	8	CHEBI:25805	oxygen
4ZaPa-NR	9	CHEBI:24061	fluorine
4ZaPa-NR	10	CHEBI:33310	neon
4ZaPa-NR	11	CHEBI:26708	sodium
4ZaPa-NR	12	CHEBI:25107	magnesium
4ZaPa-NR	13	CHEBI:28984	aluminium
4ZaPa-NR	14	CHEBI:27573	silicon
4ZaPa-NR	15	CHEBI:28659	phosphorus
4ZaPa-NR	16	CHEBI:26833	sulfur
4ZaPa-NR	17	CHEBI:23116	chlorine
4ZaPa-NR	18	CHEBI:49475	argon
4ZaPa-NR	1	CHEBI:49637	hydrogen
4ZaPa-NR	2	CHEBI:30217	helium
4ZaPa-NR	3	CHEBI:30145	lithium
4ZaPa-NR	4	CHEBI:30501	beryllium
4ZaPa-NR	5	CHEBI:27560	boron
4ZaPa-NR	6	CHEBI:27594	carbon
4ZaPa-NR	7	CHEBI:25555	nitrogen
4ZaPa-NR	8	CHEBI:25805	oxygen
4ZaPa-NR	9	CHEBI:24061	fluorine
4ZaPa-NR	10	CHEBI:33310	neon
4ZaPa-NR	11	CHEBI:26708	sodium
