identifier	type	label	parent	description	see also	depiction
ID	TYPE	AT rdfs:label^^xsd:string	SC %	AT dc:description^^xsd:string
ORBITAL:0000052	owl:Class	dz2 orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 2 and magnetic quantum number is 0
ORBITAL:0000053	owl:Class	dxz orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 2 and magnetic quantum number is +/-1
ORBITAL:0000054	owl:Class	dyz orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 2 and magnetic quantum number is +/-1
ORBITAL:0000055	owl:Class	dxy orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 2 and magnetic quantum number is +/-2
ORBITAL:0000056	owl:Class	dx2-y2 orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 2 and magnetic quantum number is +/-2
ORBITAL:0000057	owl:Class	fz3 orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is 0
ORBITAL:0000058	owl:Class	fxz2 orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is +/-1
ORBITAL:0000059	owl:Class	fyz2 orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is +/-1
ORBITAL:0000060	owl:Class	fxyz orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is +/-2
ORBITAL:0000061	owl:Class	fz(x2-y2) orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is +/-2
ORBITAL:0000062	owl:Class	fx(x2-3y2) orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is +/-3
ORBITAL:0000063	owl:Class	fy(3x2-y2) orbital	ORBITAL:0000047	an orbital whose azimuthal quantum number is 3 and magnetic quantum number is +/-3
ORBITAL:1000000	owl:DataProperty	has principal quantum number		n, takes on natural values [1,2,3,...)	https://en.wikipedia.org/wiki/Principal_quantum_number
ORBITAL:1000001	owl:DataProperty	has azimuthal quantum number		l, takes on non-negative integer values between [0, n-1]	https://en.wikipedia.org/wiki/Azimuthal_quantum_number
ORBITAL:1000002	owl:DataProperty	has magnetic quantum number		m_l, takes on integer values between [-l, l]
ORBITAL:1000003	owl:DataProperty	has spin magnetic quantum number		m_s, for an electron can be one of {-1/2, 1/2}
