curie	type	label
BSEO:0000147	class	aug-cc-pVQZ-PP-RIFIT
BSEO:0000148	class	aug-cc-pVQZ-RIFIT
BSEO:0000149	class	aug-cc-pVQZ-X2C
BSEO:0000150	class	aug-cc-pVTZ
BSEO:0000151	class	aug-cc-pVTZ-DK
BSEO:0000152	class	aug-cc-pVTZ-DK3
BSEO:0000153	class	aug-cc-pVTZ-J
BSEO:0000154	class	aug-cc-pVTZ-OPTRI
BSEO:0000155	class	aug-cc-pVTZ-PP
BSEO:0000156	class	aug-cc-pVTZ-PP-OPTRI
BSEO:0000157	class	aug-cc-pVTZ-PP-RIFIT
BSEO:0000158	class	aug-cc-pVTZ-RIFIT
BSEO:0000159	class	aug-cc-pVTZ-X2C
BSEO:0000160	class	aug-cc-pwCV5Z
BSEO:0000161	class	aug-cc-pwCV5Z-DK
BSEO:0000162	class	aug-cc-pwCV5Z-PP
BSEO:0000163	class	aug-cc-pwCV5Z-PP-OPTRI
BSEO:0000164	class	aug-cc-pwCV5Z-PP-RIFIT
BSEO:0000165	class	aug-cc-pwCV5Z-RIFIT
BSEO:0000166	class	aug-cc-pwCVDZ
BSEO:0000167	class	aug-cc-pwCVDZ-DK3
BSEO:0000168	class	aug-cc-pwCVDZ-PP
BSEO:0000169	class	aug-cc-pwCVDZ-PP-OPTRI
BSEO:0000170	class	aug-cc-pwCVDZ-PP-RIFIT
BSEO:0000171	class	aug-cc-pwCVDZ-RIFIT
BSEO:0000172	class	aug-cc-pwCVDZ-X2C
BSEO:0000173	class	aug-cc-pwCVQZ
BSEO:0000174	class	aug-cc-pwCVQZ-DK
BSEO:0000175	class	aug-cc-pwCVQZ-DK3
BSEO:0000176	class	aug-cc-pwCVQZ-PP
BSEO:0000177	class	aug-cc-pwCVQZ-PP-OPTRI
BSEO:0000178	class	aug-cc-pwCVQZ-PP-RIFIT
BSEO:0000179	class	aug-cc-pwCVQZ-RIFIT
BSEO:0000180	class	aug-cc-pwCVQZ-X2C
BSEO:0000181	class	aug-cc-pwCVTZ
BSEO:0000182	class	aug-cc-pwCVTZ-DK
BSEO:0000183	class	aug-cc-pwCVTZ-DK3
BSEO:0000184	class	aug-cc-pwCVTZ-PP
BSEO:0000185	class	aug-cc-pwCVTZ-PP-OPTRI
BSEO:0000186	class	aug-cc-pwCVTZ-PP-RIFIT
BSEO:0000187	class	aug-cc-pwCVTZ-RIFIT
BSEO:0000188	class	aug-cc-pwCVTZ-X2C
BSEO:0000189	class	aug-ccX-5Z
BSEO:0000190	class	aug-ccX-DZ
BSEO:0000191	class	aug-ccX-QZ
BSEO:0000192	class	aug-ccX-TZ
BSEO:0000193	class	aug-mcc-pV5Z
BSEO:0000194	class	aug-mcc-pV6Z
BSEO:0000195	class	aug-mcc-pV7Z
BSEO:0000196	class	aug-mcc-pV8Z
BSEO:0000197	class	aug-mcc-pVQZ
BSEO:0000198	class	aug-mcc-pVTZ
BSEO:0000199	class	aug-pc-0
BSEO:0000200	class	aug-pc-1
BSEO:0000201	class	aug-pc-2
BSEO:0000202	class	aug-pc-3
BSEO:0000203	class	aug-pc-4
BSEO:0000204	class	aug-pcH-1
BSEO:0000205	class	aug-pcH-2
BSEO:0000206	class	aug-pcH-3
BSEO:0000207	class	aug-pcH-4
BSEO:0000208	class	aug-pcJ-0
BSEO:0000209	class	aug-pcJ-0_2006
BSEO:0000210	class	aug-pcJ-1
BSEO:0000211	class	aug-pcJ-1_2006
BSEO:0000212	class	aug-pcJ-2
BSEO:0000213	class	aug-pcJ-2_2006
BSEO:0000214	class	aug-pcJ-3
BSEO:0000215	class	aug-pcJ-3_2006
BSEO:0000216	class	aug-pcJ-4
BSEO:0000217	class	aug-pcJ-4_2006
BSEO:0000218	class	aug-pcS-0
BSEO:0000219	class	aug-pcS-1
BSEO:0000220	class	aug-pcS-2
BSEO:0000221	class	aug-pcS-3
BSEO:0000222	class	aug-pcS-4
BSEO:0000223	class	aug-pcseg-0
BSEO:0000224	class	aug-pcseg-1
BSEO:0000225	class	aug-pcseg-2
BSEO:0000226	class	aug-pcseg-3
BSEO:0000227	class	aug-pcseg-4
BSEO:0000228	class	aug-pcSseg-0
BSEO:0000229	class	aug-pcSseg-1
BSEO:0000230	class	aug-pcSseg-2
BSEO:0000231	class	aug-pcSseg-3
BSEO:0000232	class	aug-pcSseg-4
BSEO:0000233	class	aug-pcX-1
BSEO:0000234	class	aug-pcX-2
BSEO:0000235	class	aug-pcX-3
BSEO:0000236	class	aug-pcX-4
BSEO:0000237	class	aug-pV7Z
BSEO:0000238	class	aug-seg-cc-pV5Z-PP
BSEO:0000239	class	aug-seg-cc-pVDZ-PP
BSEO:0000240	class	aug-seg-cc-pVQZ-PP
BSEO:0000241	class	aug-seg-cc-pVTZ-PP
BSEO:0000242	class	aug-seg-cc-pwCV5Z-PP
BSEO:0000243	class	aug-seg-cc-pwCVDZ-PP
BSEO:0000244	class	aug-seg-cc-pwCVQZ-PP
BSEO:0000245	class	aug-seg-cc-pwCVTZ-PP
BSEO:0000246	class	binning 641
BSEO:0000247	class	binning 641(d)
BSEO:0000248	class	binning 641(df)
BSEO:0000249	class	binning 641+
BSEO:0000250	class	binning 641+(d)
BSEO:0000251	class	binning 641+(df)
BSEO:0000252	class	binning 962
BSEO:0000253	class	binning 962(d)
BSEO:0000254	class	binning 962(df)
BSEO:0000255	class	binning 962+
BSEO:0000256	class	binning 962+(d)
BSEO:0000257	class	binning 962+(df)
BSEO:0000258	class	CADPAC-TZ2P
BSEO:0000259	class	cc-pCV5Z
BSEO:0000260	class	cc-pCVDZ
BSEO:0000261	class	cc-pCVDZ-DK
BSEO:0000262	class	cc-pCVDZ-F12
BSEO:0000263	class	cc-pCVDZ-F12-OPTRI
BSEO:0000264	class	cc-pCVDZ-F12-RIFIT
BSEO:0000265	class	cc-pCVQZ
BSEO:0000266	class	cc-pCVQZ-DK
BSEO:0000267	class	cc-pCVQZ-F12
BSEO:0000268	class	cc-pCVQZ-F12-OPTRI
